symbol,name,market_cap
D05.SI,DBS Group Holdings Ltd,217281600000
O39.SI,Oversea-Chinese Banking Corp Ltd,141405924071
Z77.SI,Singapore Telecommunications Ltd,73496476042
Z74.SI,Singapore Telecommunications Ltd,73496476042
U11.SI,United Overseas Bank Ltd,67867759020
O6Z.SI,Lonza Group Ltd,65080470278
K6S.SI,Prudential PLC,44812534877
N33.SI,Nomura Holdings Inc,35924325935
TATD.SI,Airports of Thailand PCL DRC,33571393536
S63.SI,Singapore Technologies Engineering Ltd,33407756421
S68.SI,Singapore Exchange Ltd,27142896615
F34.SI,Wilmar International Ltd,23411241772
J36.SI,Jardine Matheson Holdings Ltd,22668754631
Q0F.SI,IHH Healthcare Bhd,22607275143
H78.SI,Hongkong Land Holdings Ltd,22589509321
C6L.SI,Singapore Airlines Ltd,21822789902
BN4.SI,Keppel Ltd,20592246062
TPED.SI,PTT Exploration Production PCL DRC,20445423616
G07.SI,Great Eastern Holdings Ltd,19585943074
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd,18930184148
SO7.SI,Yangzijiang Shipbuilding (Holdings) Ltd,18925101739
C38U.SI,CapitaLand Integrated Commercial Trust,18911574868
TCPD.SI,CP All PCL DRC,15950870528
NIO.SI,NIO Inc,14344850214
9CI.SI,CapitaLand Investment Ltd,13332728696
A17U.SI,CapitaLand Ascendas REIT,12288227761
Y92.SI,Thai Beverage PLC,11686234056
U96.SI,Sembcorp Industries Ltd,10771507470
C07.SI,Jardine Cycle & Carriage Ltd,10762284122
U14.SI,UOL Group Ltd,8092605365
G13.SI,Genting Singapore Ltd,7841367478
C09.SI,City Developments Ltd,7504574532
5E2.SI,Seatrium Ltd,7319677296
EB5.SI,First Resources Ltd,6765375160
N2IU.SI,Mapletree Pan Asia Commercial Trust,6763993249
D01.SI,DFI Retail Group Holdings Ltd,6254207445
S58.SI,SATS Ltd,6049944243
M44U.SI,Mapletree Logistics Trust,5990279196
ME8U.SI,Mapletree Industrial Trust,5510156621
AJBU.SI,Keppel DC REIT,5479429446
M12.SI,Maruwa Co Ltd,5293569408
EMI.SI,Emperador Inc,5180193439
V03.SI,Venture Corp Ltd,4817018030
OV8.SI,Sheng Siong Group Ltd,4811318400
U06.SI,Singapore Land Group Ltd,4729003494
T82U.SI,Suntec Real Estate Investment Trust,4556222176
8A8.SI,China Medical System Holdings Ltd,4495025510
T14.SI,Tianjin Pharmaceutical Da Ren Tang Group Corp Ltd,4492873575
J69U.SI,Frasers Centrepoint Trust,4486471050
K71U.SI,Keppel REIT,4420935779
TQ5.SI,Frasers Property Ltd,4004562404
U10.SI,UOB-Kay Hian Holdings Ltd,3985962367
VC2.SI,Olam Group Ltd,3921995152
E5H.SI,Golden Agri-Resources Ltd,3867910282
CJLU.SI,NetLink NBN Trust,3819031552
BUOU.SI,Frasers Logistics & Commercial Trust,3611198553
S59.SI,SIA Engineering Co Ltd,3555857475
AVP.SI,AvePoint Inc,3555637604
P8Z.SI,Bumitama Agri Ltd,3537653849
HMN.SI,CapitaLand Ascott Trust,3461720576
A7RU.SI,Keppel Infrastructure Trust,3347491072
H02.SI,Haw Par Corp Ltd,3313881549
AWX.SI,AEM Holdings Ltd,2971787100
XWA.SI,AEM Holdings Ltd,2971646629
C52.SI,ComfortDelGro Corp Ltd,2794112272
AIY.SI,iFAST Corp Ltd,2742912261
C2PU.SI,Parkway Life Real Estate Investment Trust,2708510418
F17.SI,GuocoLand Ltd,2504439148
H15.SI,Hotel Properties Ltd,2468568522
558.SI,UMS Integration Ltd,2405133181
S07.SI,Shangri-La Asia Ltd,2351593656
H22.SI,Hong Leong Asia Ltd,2338568565
P7VU.SI,Hutchison Port Holdings Trust,2216680704
NS8U.SI,Hutchison Port Holdings Trust,2197392661
F99.SI,Fraser and Neave Ltd,2051959169
8YZ.SI,Yangzijiang Maritime Development Ltd,2040282574
TS0U.SI,OUE Real Estate Investment Trust,2018448669
8C8U.SI,Centurion Accommodation REIT,1969898055
HKB.SI,AMTD IDEA Group,1924774988
JYEU.SI,Lendlease Global Commercial REIT,1896406699
CC3.SI,StarHub Ltd,1881877023
9A4U.SI,ESR-REIT,1867681355
AGS.SI,The Hour Glass Ltd,1782082344
AMQ.SI,AMQ,1741547610
BVA.SI,Top Glove Corp Bhd,1673866469
BSL.SI,Raffles Medical Group Ltd,1591765106
CY6U.SI,CapitaLand India Trust,1531523968
F03.SI,Food Empire Holdings Ltd,1486015375
S2D.SI,Tosei Corp,1408557512
A50.SI,Thomson Medical Group Ltd,1401511658
H13.SI,Ho Bee Land Ltd,1361233620
P15.SI,Pacific Century Regional Developments Ltd,1323199100
OU8.SI,Centurion Corp Ltd,1320022439
SET.SI,Stoneweg Europe Stapled Trust,1310000204
OYY.SI,PropNex Ltd,1309800000
SEB.SI,Stoneweg Europe Stapled Trust,1309230592
G92.SI,China Aviation Oil (Singapore) Corp Ltd,1273071769
NC2.SI,Sri Trang Agro-Industry PLC,1247688377
NTDU.SI,NTT DC REIT,1220526123
O5RU.SI,AIMS APAC REIT,1219067714
