symbol,name,market_cap
D05,DBS Group Holdings Ltd,178316967936.0
O39,Oversea-Chinese Banking Corp Ltd,105055887360.0
Z77,Singapore Telecommunications Ltd,71830790144.0
Z74,Singapore Telecommunications Ltd,71446781952.0
U11,United Overseas Bank Ltd,62137376768.0
K6S,Prudential PLC,44499523040.0
S63,Singapore Technologies Engineering Ltd,35520385024.0
TATD,Airports of Thailand PCL DRC,30714257408.0
Q0F,IHH Healthcare Bhd,26164615168.0
J36,Jardine Matheson Holdings Ltd,25063209835.0
S68,Singapore Exchange Ltd,23426498560.0
F34,Wilmar International Ltd,22412007424.0
TPED,PTT Exploration Production PCL DRC,21914318848.0
C6L,Singapore Airlines Ltd,21362997248.0
H78,Hongkong Land Holdings Ltd,20956737319.0
BN4,Keppel Ltd,19517929472.0
C38U,CapitaLand Integrated Commercial Trust,17887027200.0
NIO,NIO Inc,17734302555.0
TCPD,CP All PCL DRC,16574648320.0
G07,Great Eastern Holdings Ltd,14871685120.0
BS6,Yangzijiang Shipbuilding (Holdings) Ltd,14325544960.0
SO7,Yangzijiang Shipbuilding (Holdings) Ltd,14120820621.0
9CI,CapitaLand Investment Ltd,12683569152.0
A17U,CapitaLand Ascendas REIT,12478402560.0
C07,Jardine Cycle & Carriage Ltd,11698994176.0
U96,Sembcorp Industries Ltd,11361419264.0
Y92,Thai Beverage PLC,11309258752.0
U14,UOL Group Ltd,8592941056.0
C09,City Developments Ltd,7665387008.0
G13,Genting Singapore Ltd,7252843520.0
5E2,Seatrium Ltd,7187023872.0
D01,DFI Retail Group Holdings Ltd,6935023205.0
N2IU,Mapletree Pan Asia Commercial Trust,6763993600.0
M44U,Mapletree Logistics Trust,6143876096.0
S58,SATS Ltd,5686837248.0
AJBU,Keppel DC REIT,5650661888.0
ME8U,Mapletree Industrial Trust,5538706944.0
EMI,Emperador Inc,5410804736.0
T14,Tianjin Pharmaceutical Da Ren Tang Group Corp Ltd,5270906200.0
V03,Venture Corp Ltd,5175538176.0
U06,Singapore Land Group Ltd,5086664704.0
VC2,Olam Group Ltd,4716331520.0
J69U,Frasers Centrepoint Trust,4625860608.0
OV8,Sheng Siong Group Ltd,4585787904.0
TQ5,Frasers Property Ltd,4436426752.0
T82U,Suntec Real Estate Investment Trust,4344644096.0
K71U,Keppel REIT,4296752128.0
8A8,China Medical System Holdings Ltd,4269175808.0
EB5,First Resources Ltd,4102308352.0
U10,UOB-Kay Hian Holdings Ltd,3877701632.0
CJLU,NetLink NBN Trust,3877486080.0
BUOU,Frasers Logistics & Commercial Trust,3801261568.0
S59,SIA Engineering Co Ltd,3614492928.0
E5H,Golden Agri-Resources Ltd,3487460096.0
HMN,CapitaLand Ascott Trust,3442488832.0
H02,Haw Par Corp Ltd,3413497344.0
AWX,AEM Holdings Ltd,3309363712.0
A7RU,Keppel Infrastructure Trust,3225763840.0
AVP,AvePoint Inc,2811348224.0
C52,ComfortDelGro Corp Ltd,2795995648.0
AIY,iFAST Corp Ltd,2784816640.0
H22,Hong Leong Asia Ltd,2713680640.0
P8Z,Bumitama Agri Ltd,2687923200.0
C2PU,Parkway Life Real Estate Investment Trust,2617139200.0
F17,GuocoLand Ltd,2605470976.0
S07,Shangri-La Asia Ltd,2543632985.0
558,UMS Integration Ltd,2485008384.0
H15,Hotel Properties Ltd,2441564672.0
P7VU,Hutchison Port Holdings Trust,2305347840.0
NS8U,Hutchison Port Holdings Trust,2287221573.0
